policy,estimator,arm,estimate,std_error,ci_low,ci_high,valid,note,effective_sample_fraction,rep
fixed,aw_aipw,3,0.1178745227543581,0.01978900900297,0.0790887778187979,0.1566602676899183,True,,1.0,6
fixed,difference_in_means,1,0.1548910223144785,0.0209921576348781,0.1137471493923297,0.1960348952366272,True,,1.0,7
fixed,ipw,1,0.135,0.0245885115190952,0.086807402989125,0.183192597010875,True,,1.0,7
fixed,aipw,1,0.1443228911841836,0.0192939276782472,0.1065074878144984,0.1821382945538687,True,,1.0,7
fixed,aw_aipw,1,0.1443228911841835,0.0192939276782472,0.1065074878144983,0.1821382945538687,True,,1.0,7
fixed,difference_in_means,2,0.1175659087258793,0.0200632843068668,0.0782425940728327,0.1568892233789259,True,,1.0,7
fixed,ipw,2,0.144,0.0247582156528005,0.0954747889990351,0.1925252110009648,True,,1.0,7
fixed,aipw,2,0.1053352190945299,0.0200634064347683,0.0660116650751947,0.144658773113865,True,,1.0,7
fixed,aw_aipw,2,0.1053352190945299,0.0200634064347683,0.0660116650751947,0.144658773113865,True,,1.0,7
fixed,difference_in_means,3,0.1105777333686466,0.0202788050880116,0.0708320057466362,0.1503234609906569,True,,1.0,7
fixed,ipw,3,0.119,0.0242818276039499,0.0714084924174475,0.1665915075825524,True,,1.0,7
fixed,aipw,3,0.1011166072346475,0.0198406623375959,0.0622296236235392,0.1400035908457557,True,,1.0,7
fixed,aw_aipw,3,0.1011166072346475,0.0198406623375959,0.0622296236235392,0.1400035908457557,True,,1.0,7
fixed,difference_in_means,1,0.1559326037319895,0.021012923041581,0.1147480313605789,0.1971171761034002,True,,1.0,8
fixed,ipw,1,0.168,0.0261364645408416,0.1167734708167421,0.2192265291832578,True,,1.0,8
fixed,aipw,1,0.1660825322310896,0.0201156346021411,0.1266566128847253,0.205508451577454,True,,1.0,8
fixed,aw_aipw,1,0.1660825322310896,0.0201156346021411,0.1266566128847253,0.2055084515774539,True,,1.0,8
fixed,difference_in_means,2,0.0947604425598284,0.0211002695675279,0.0534046741433871,0.1361162109762696,True,,1.0,8
fixed,ipw,2,0.081,0.0245257034054455,0.0329305046298153,0.1290694953701846,True,,1.0,8
fixed,aipw,2,0.1003081278903687,0.0196264763271994,0.0618409411456299,0.1387753146351075,True,,1.0,8
fixed,aw_aipw,2,0.1003081278903687,0.0196264763271994,0.0618409411456299,0.1387753146351075,True,,1.0,8
fixed,difference_in_means,3,0.0815398911813822,0.0203527986537761,0.0416491388353857,0.1214306435273788,True,,1.0,8
fixed,ipw,3,0.11,0.0250825095050468,0.0608391847282245,0.1591608152717754,True,,1.0,8
fixed,aipw,3,0.0812484265272739,0.0201128212344102,0.0418280212803374,0.1206688317742104,True,,1.0,8
fixed,aw_aipw,3,0.0812484265272739,0.0201128212344102,0.0418280212803374,0.1206688317742104,True,,1.0,8
fixed,difference_in_means,1,0.1546181251133833,0.0204780774578302,0.1144818308234144,0.1947544194033521,True,,1.0,9
fixed,ipw,1,0.16,0.0256078882570438,0.1098094612960678,0.2101905387039322,True,,1.0,9
fixed,aipw,1,0.1576040154121829,0.0199147230110474,0.1185718755484387,0.196636155275927,True,,1.0,9
fixed,aw_aipw,1,0.1576040154121829,0.0199147230110474,0.1185718755484387,0.196636155275927,True,,1.0,9
fixed,difference_in_means,2,0.1359010660567999,0.0206361114236876,0.0954550308854164,0.1763471012281833,True,,1.0,9
fixed,ipw,2,0.124,0.0249461736122891,0.0751063981678297,0.1728936018321702,True,,1.0,9
fixed,aipw,2,0.1354858264822656,0.0201926653855481,0.0959089295747226,0.1750627233898085,True,,1.0,9
