policy,rep,cumulative_reward,expected_cumulative_reward,oracle_regret,share_arm0,share_arm1,share_arm2,share_arm3
fixed,185,1368.0,1379.4004731202,404.30301309354354,0.247,0.2425,0.2695,0.241
fixed,186,1390.0,1379.297935186168,403.65936210923945,0.25175,0.25625,0.2465,0.2455
fixed,187,1380.0,1382.388411142631,410.2773443506754,0.24775,0.24575,0.2575,0.249
fixed,188,1432.0,1384.529069742541,411.1391239664337,0.251,0.25275,0.25275,0.2435
fixed,189,1379.0,1361.4557073042797,417.1724076883462,0.25175,0.2475,0.26425,0.2365
fixed,190,1346.0,1372.6515028474553,411.05082318163335,0.2465,0.248,0.2595,0.246
fixed,191,1362.0,1379.4445900009446,404.903137957642,0.23975,0.25725,0.25075,0.25225
fixed,192,1401.0,1376.899993183934,410.53793006405647,0.2565,0.24925,0.24325,0.251
fixed,193,1371.0,1377.4206550868075,410.3572047066944,0.2495,0.24525,0.25625,0.249
fixed,194,1371.0,1359.895025455496,425.78907634186186,0.2645,0.24775,0.23425,0.2535
fixed,195,1404.0,1370.5811809611337,414.1102918817785,0.258,0.2685,0.2355,0.238
fixed,196,1418.0,1401.6146966505075,402.25516191688087,0.23625,0.2635,0.2475,0.25275
fixed,197,1401.0,1395.499137221384,412.4537654337985,0.2515,0.24725,0.253,0.24825
fixed,198,1357.0,1369.7609480535098,397.22205457555935,0.2455,0.2645,0.2485,0.2415
fixed,199,1383.0,1397.0673102833744,408.6105202064955,0.2535,0.255,0.24425,0.24725
fixed,200,1425.0,1397.068128737221,404.0487763209808,0.25175,0.258,0.247,0.24325
fixed,201,1330.0,1360.0214729072363,408.98074607166416,0.248,0.2575,0.242,0.2525
fixed,202,1372.0,1364.2411343946203,406.7881915550717,0.25725,0.24675,0.2485,0.2475
fixed,203,1414.0,1372.1165567515247,424.78042585416,0.2635,0.2375,0.25075,0.24825
fixed,204,1405.0,1366.7975409302612,402.0174695940171,0.24425,0.24725,0.25125,0.25725
fixed,205,1414.0,1380.4744224609867,415.0609750894,0.2495,0.24975,0.259,0.24175
fixed,206,1310.0,1358.6527032912134,414.74991976644105,0.251,0.24925,0.2455,0.25425
fixed,207,1346.0,1379.2288911249543,413.0373055506712,0.24975,0.24125,0.2615,0.2475
fixed,208,1398.0,1377.3509504305773,413.7743579008357,0.24875,0.26125,0.23325,0.25675
fixed,209,1350.0,1396.9135083673864,406.4145647843732,0.24175,0.2535,0.25825,0.2465
fixed,210,1409.0,1374.3494984165015,406.4823947527853,0.24975,0.25225,0.25625,0.24175
fixed,211,1414.0,1395.2097074281428,417.6246939338501,0.25125,0.23725,0.249,0.2625
fixed,212,1452.0,1386.8595756255395,403.26642262411775,0.23775,0.26375,0.252,0.2465
fixed,213,1406.0,1386.7497821108466,399.08274046105066,0.25225,0.24025,0.2555,0.252
fixed,214,1397.0,1395.0262523540923,410.3936296520394,0.251,0.24025,0.26125,0.2475
fixed,215,1398.0,1368.1384857680366,416.4406290242878,0.256,0.24875,0.2515,0.24375
fixed,216,1348.0,1381.2940813496225,403.2844459709008,0.24975,0.26125,0.235,0.254
fixed,217,1383.0,1366.4063210718605,399.90678643125057,0.2425,0.25025,0.25275,0.2545
fixed,218,1321.0,1373.898291519739,419.3418356216566,0.2485,0.24575,0.25575,0.25
fixed,219,1330.0,1352.533578616406,409.8995637464833,0.2485,0.25925,0.244,0.24825
fixed,220,1364.0,1392.6885168699598,406.3028465429285,0.239,0.257,0.253,0.251
fixed,221,1330.0,1366.15415846298,410.343662482492,0.2515,0.23825,0.26175,0.2485
fixed,222,1308.0,1369.170115532765,416.5431523870333,0.256,0.25425,0.2515,0.23825
fixed,223,1330.0,1367.185637608779,424.4074441681665,0.2705,0.23225,0.2405,0.25675
fixed,224,1322.0,1380.0545289613406,412.5332888990564,0.249,0.241,0.2505,0.2595
fixed,225,1413.0,1365.8557691967728,420.3331263011912,0.25325,0.234,0.25175,0.261
fixed,226,1379.0,1376.6049614110148,407.5170257807412,0.2495,0.26325,0.2475,0.23975
fixed,227,1385.0,1381.7139145227218,414.2003403337468,0.24625,0.25075,0.246,0.257
fixed,228,1398.0,1389.250004660964,411.681074136972,0.2495,0.2495,0.25975,0.24125
fixed,229,1385.0,1376.7560796410426,407.7757437048666,0.25825,0.25825,0.245,0.2385
fixed,230,1399.0,1380.9698424687615,410.1657104918319,0.24375,0.24175,0.2595,0.255
fixed,231,1379.0,1362.0278611256272,403.13008508451696,0.24775,0.2515,0.258,0.24275
fixed,232,1348.0,1374.6246924801949,413.401833881034,0.2585,0.25575,0.23375,0.252
fixed,233,1346.0,1365.3401008456683,409.745850432267,0.24575,0.242,0.25575,0.2565
fixed,234,1397.0,1384.4732690545393,424.07701332679136,0.2755,0.2425,0.2395,0.2425
fixed,235,1405.0,1394.0026055539513,409.4349871706569,0.234,0.25425,0.26725,0.2445
fixed,236,1366.0,1396.840857373672,401.6081776588511,0.23975,0.2585,0.2535,0.24825
fixed,237,1406.0,1397.0879263904123,411.11223616592224,0.24075,0.24225,0.26425,0.25275
fixed,238,1354.0,1383.8417578855635,409.7436631052595,0.25375,0.25275,0.25225,0.24125
fixed,239,1403.0,1386.511847174155,409.9433834193177,0.2475,0.25125,0.24625,0.255
fixed,240,1413.0,1370.8928809763024,415.2657023921915,0.24825,0.26125,0.245,0.2455
fixed,241,1424.0,1383.420329679886,404.22748439658926,0.24125,0.2575,0.25225,0.249
fixed,242,1375.0,1377.6041216571853,415.52424665136846,0.25325,0.24975,0.24975,0.24725
fixed,243,1382.0,1384.2993155798026,413.9369429490423,0.253,0.23375,0.25675,0.2565
fixed,244,1423.0,1386.3628537535114,402.7295003392073,0.241,0.25125,0.25625,0.2515
fixed,245,1374.0,1376.7196845791375,410.0290860447234,0.245,0.25925,0.24225,0.2535
fixed,246,1376.0,1387.6788151220353,415.8119471699448,0.24625,0.2565,0.24225,0.255
fixed,247,1426.0,1385.9584284773032,413.2175348841414,0.25175,0.26475,0.24475,0.23875
fixed,248,1362.0,1367.0410246840484,417.8304786848281,0.25075,0.2445,0.247,0.25775
fixed,249,1415.0,1386.716072270075,401.21092717549857,0.24225,0.255,0.244,0.25875
fixed,250,1375.0,1377.575223709972,407.9482804741969,0.24725,0.257,0.241,0.25475
fixed,251,1387.0,1380.862785156265,409.6870327852056,0.24575,0.25625,0.254,0.244
fixed,252,1427.0,1377.2778412845855,420.6300195756076,0.25475,0.24475,0.2425,0.258
fixed,253,1392.0,1385.1337252161793,406.6567963295223,0.24375,0.26,0.243,0.25325
fixed,254,1430.0,1397.1132002728273,406.0406259430181,0.248,0.24575,0.26525,0.241
fixed,255,1372.0,1374.90714942819,418.6341504711212,0.2625,0.2445,0.253,0.24
fixed,256,1396.0,1365.8813792698395,412.6543876228642,0.25775,0.24075,0.24725,0.25425
fixed,257,1330.0,1371.337344403367,399.8196060679387,0.238,0.269,0.24325,0.24975
fixed,258,1366.0,1382.6527505654094,404.6045223810907,0.2455,0.244,0.2455,0.265
fixed,259,1383.0,1365.461419631034,416.7775791428546,0.25925,0.24725,0.2455,0.248
fixed,260,1394.0,1386.791954565758,421.2668655389648,0.2565,0.24025,0.24975,0.2535
fixed,261,1348.0,1369.3014415258135,425.7341769676907,0.2675,0.2405,0.2555,0.2365
fixed,262,1378.0,1358.1882234666527,413.4088484030112,0.2545,0.25025,0.252,0.24325
fixed,263,1375.0,1357.3488498381191,411.15901420561966,0.25725,0.243,0.2545,0.24525
fixed,264,1424.0,1370.926129089355,404.3471602458209,0.2505,0.2595,0.24275,0.24725
fixed,265,1326.0,1372.8070005197374,408.7721553420854,0.252,0.25275,0.2515,0.24375
fixed,266,1343.0,1374.6792672367826,413.7419151502294,0.248,0.2435,0.254,0.2545
fixed,267,1348.0,1363.7373745949878,416.1093772345442,0.25425,0.25125,0.25575,0.23875
fixed,268,1368.0,1363.5672934071758,415.0741990660117,0.24175,0.25,0.25675,0.2515
fixed,269,1396.0,1391.0999217981434,415.0461559223868,0.254,0.26025,0.24925,0.2365
fixed,270,1365.0,1388.4886192105328,407.4251333874892,0.24875,0.25675,0.24475,0.24975
fixed,271,1389.0,1378.1142149237355,405.8849746451174,0.2365,0.25875,0.24975,0.255
fixed,272,1384.0,1376.2708729975884,408.7234659422837,0.252,0.2485,0.256,0.2435
fixed,273,1379.0,1369.052841759093,410.16707160689,0.25175,0.246,0.25525,0.247
fixed,274,1426.0,1383.0612013300142,407.7928946282713,0.2455,0.25125,0.24875,0.2545
fixed,275,1400.0,1381.196204197112,408.6200218505873,0.248,0.25825,0.245,0.24875
fixed,276,1413.0,1365.9864656775342,406.5932591328064,0.2425,0.2525,0.253,0.252
fixed,277,1371.0,1382.2519759637098,417.7393398360198,0.25525,0.2555,0.244,0.24525
fixed,278,1374.0,1388.6726888253024,410.5647264621407,0.24975,0.24175,0.2615,0.247
fixed,279,1388.0,1374.8478013208062,412.1271568880427,0.2565,0.2545,0.24375,0.24525
fixed,280,1339.0,1382.030994873979,418.0535356877082,0.25125,0.246,0.25125,0.2515
fixed,281,1354.0,1388.6233503449153,405.8676832147046,0.24275,0.24875,0.25075,0.25775
fixed,282,1313.0,1372.2644773535703,418.6134158029084,0.26325,0.243,0.23275,0.261
fixed,283,1417.0,1389.3812256160415,417.7737708298189,0.2615,0.244,0.248,0.2465
fixed,284,1381.0,1380.514589345962,418.5972487134819,0.25425,0.247,0.24625,0.2525
fixed,285,1424.0,1389.456583452872,403.1101090737232,0.24475,0.243,0.254,0.25825
fixed,286,1410.0,1386.491896179405,415.6997175355086,0.25725,0.24,0.255,0.24775
fixed,287,1392.0,1379.5923735589242,415.411413672121,0.2455,0.24125,0.25475,0.2585
fixed,288,1352.0,1368.66907777083,423.3816085517876,0.252,0.2545,0.23975,0.25375
fixed,289,1382.0,1368.8356367870424,417.5626111550137,0.24475,0.24625,0.24825,0.26075
fixed,290,1366.0,1379.9561738839825,408.6214958788664,0.24275,0.24725,0.25,0.26
fixed,291,1379.0,1396.540584056827,408.7170404033325,0.246,0.25675,0.24375,0.2535
fixed,292,1427.0,1384.3852594072089,412.2883238733421,0.2455,0.2445,0.256,0.254
fixed,293,1398.0,1388.4793021431258,413.187706687162,0.2575,0.24325,0.25875,0.2405
fixed,294,1363.0,1384.3569026858454,406.4337669473233,0.24375,0.26125,0.24975,0.24525
