policy,segment,arm,estimate,ci_low,ci_high,valid,rep
thompson,1,3,-0.07775562090141806,-0.30606362184949226,0.15055238004665616,True,20
thompson,2,1,0.2720945490747991,0.08222567210073947,0.46196342604885865,True,20
thompson,2,2,0.1181768449148453,-0.1098104246880786,0.3461641145177692,True,20
thompson,2,3,-0.04261812328817577,-0.297464730162887,0.21222848358653545,True,20
thompson,0,1,0.22310997464677354,0.12760673285396273,0.31861321643958435,True,21
thompson,0,2,0.28255704508212887,0.15723369255683833,0.4078803976074194,True,21
thompson,0,3,0.3402449616558893,0.20957542023284476,0.47091450307893384,True,21
thompson,1,1,0.24366047674047514,0.09985777062960732,0.38746318285134296,True,21
thompson,1,2,0.09410445288461308,-0.08283461346421706,0.2710435192334432,True,21
thompson,1,3,0.17860669870869925,-0.009050009545618132,0.3662634069630166,True,21
thompson,2,1,0.3405998624136773,0.06571567596244587,0.6154840488649087,True,21
thompson,2,2,0.2438960954017874,-0.04513463763573247,0.5329268284393073,True,21
thompson,2,3,-0.08718653791067275,-0.37700994870439786,0.20263687288305232,True,21
thompson,0,1,0.04649524944272752,-0.06600867955629805,0.15899917844175307,True,22
thompson,0,2,0.11906366223630056,-0.026004451924745417,0.26413177639734653,True,22
thompson,0,3,0.22740953059473432,0.08824603461792471,0.3665730265715439,True,22
thompson,1,1,0.14408985288094014,-0.023954677798392138,0.31213438356027245,True,22
thompson,1,2,0.09069905133091867,-0.10632653654799419,0.28772463920983155,True,22
thompson,1,3,0.055406505787234335,-0.12121956856355812,0.23203258013802677,True,22
thompson,2,1,0.3213389471705057,0.0877113581026003,0.5549665362384111,True,22
thompson,2,2,0.15198377817444247,-0.13023343367663043,0.4342009900255154,True,22
thompson,2,3,0.10059770509500855,-0.14095449796898818,0.3421499081590053,True,22
thompson,0,1,0.18707472403260425,0.11202655434878779,0.2621228937164207,True,23
thompson,0,2,0.3180821555751335,0.18680620331172526,0.4493581078385417,True,23
thompson,0,3,0.30842417541181033,0.18423343425359756,0.4326149165700231,True,23
thompson,1,1,0.16409698742085918,-0.011103750360383052,0.33929772520210144,True,23
thompson,1,2,0.06584691930426764,-0.13955377250283033,0.27124761111136564,True,23
thompson,1,3,0.07799113878000405,-0.12496850163546891,0.280950779195477,True,23
thompson,2,1,0.38219625156447934,0.15216858811693992,0.6122239150120188,True,23
thompson,2,2,0.16870632244413156,-0.09582608142564339,0.4332387263139065,True,23
thompson,2,3,0.008075527209545188,-0.2633612479836943,0.2795123024027847,True,23
thompson,0,1,-0.0036134020673174614,-0.11500966261796441,0.1077828584833295,True,24
thompson,0,2,0.12271504464087886,-0.00886062250412574,0.25429071178588347,True,24
thompson,0,3,0.12685101461171605,-0.007013271326967663,0.26071530055039976,True,24
thompson,1,1,0.17699693551910345,0.034299182057838884,0.319694688980368,True,24
thompson,1,2,0.12688554601211938,-0.036629057530010944,0.2904001495542497,True,24
thompson,1,3,0.160503127369836,-0.01518089789413371,0.3361871526338057,True,24
thompson,2,1,0.17318579529713427,-0.002353873010183194,0.3487254636044517,True,24
thompson,2,2,-0.0977691719834088,-0.2928740146321917,0.09733567066537412,True,24
thompson,2,3,-0.1525629814403081,-0.34623487892908755,0.041108916048471306,True,24
thompson,0,1,0.018078750011655882,-0.0932028912979323,0.12936039132124408,True,25
thompson,0,2,0.08636087699049977,-0.027319489052498827,0.20004124303349835,True,25
thompson,0,3,0.13665385820280262,0.0013804270843756905,0.27192728932122956,True,25
thompson,1,1,0.16438218544946478,0.04639272328719979,0.2823716476117298,True,25
thompson,1,2,0.11913500079277263,-0.0048071455031326316,0.2430771470886779,True,25
thompson,1,3,0.11103163366632285,-0.04769041466065013,0.26975368199329586,True,25
thompson,2,1,0.4680282820800449,0.3293684610407165,0.6066881031193733,True,25
thompson,2,2,0.24378048961720877,0.09193933062086332,0.3956216486135542,True,25
thompson,2,3,0.23314799262887534,0.053324972945063276,0.4129710123126874,True,25
thompson,0,1,0.017689233755572877,-0.0937226379844381,0.12910110549558385,True,26
thompson,0,2,0.12403207925638905,-0.005536485558714735,0.25360064407149285,True,26
thompson,0,3,0.10188810776031963,-0.03497061042510223,0.23874682594574148,True,26
thompson,1,1,0.2200431559085795,0.07179879336414541,0.3682875184530136,True,26
thompson,1,2,0.17235195778434842,0.008730172497088295,0.33597374307160854,True,26
thompson,1,3,0.059047223742747346,-0.10562207024062592,0.2237165177261206,True,26
